2 1 66	5.1668905652578275e-05 0.0010438413361169101
21 104 39 30	0.14393939393939395 0.011482254697286013
21 104 39 83	0.009233585929522028 0.33089770354906056
21 104 39 92	0.04567725620357199 0.2546972860125261
21 104 40	0.012581168831168832 0.028183716075156576
21 104 40 99	0.1525974025974026 0.04801670146137787
21 104 57	0.0045662100456621 0.005219206680584551
21 104 57 30	1.0 0.009394572025052192
21 104 123 20	1.0 0.03966597077244259
21 105 8 20	0.3649425287356322 0.022964509394572025
21 105 10 30	1.0 0.027139874739039668
21 105 20	0.8437163513305646 0.651356993736952
21 105 20 18	0.030105859987958603 0.7567849686847599
21 105 20 27	0.1148272338710838 0.5031315240083507
21 105 20 83	0.029473532762937744 0.7567849686847599
21 105 20 92	0.09574263841224892 0.5031315240083507
21 105 20 95	1.2241100719776722e-05 0.0041753653444676405
21 105 20 117	0.0006635361371988567 0.0041753653444676405
21 105 23 20	0.9883040935672515 0.35281837160751567
21 105 35 80	0.00037123486637865026 0.06471816283924843
21 105 39	0.028677150786308975 0.028183716075156576
21 105 39 18	0.018441403926234383 0.06471816283924843
21 105 39 52	0.011878247958426132 0.015657620041753653
21 105 39 99	0.06870748299319727 0.10542797494780794
21 105 40	0.9840647217455258 0.9551148225469729
21 105 40 18	0.00995899238429994 0.34029227557411273
21 105 40 27	0.048891384682269404 0.2640918580375783
21 105 40 30	0.19387755102040816 0.05323590814196242
21 105 40 52	0.06220095693779904 0.0010438413361169101
21 105 40 83	0.009753105123422602 0.34029227557411273
21 105 40 92	0.04480857987183318 0.2640918580375783
21 105 67 21	0.9901960784313726 0.42693110647181626
21 105 67 61	0.205607476635514 0.022964509394572025
21 105 73 20	0.3649425287356322 0.022964509394572025
21 108 20	1.0 0.031315240083507306
21 108 43	0.746031746031746 0.04279749478079332
21 110 15 80	0.0027010804321728693 0.009394572025052192
21 110 28	1.0 0.007306889352818371
21 110 30	0.42857142857142855 0.009394572025052192
21 110 45	1.0 0.007306889352818371
21 110 52	0.42857142857142855 0.009394572025052192
21 117	0.0006230529595015577 0.0010438413361169101
21 117 15 80	0.015098814229249012 0.06889352818371608
21 117 19 84	0.023420941076727427 0.4613778705636743
21 117 27 18	0.03523738872403561 0.49164926931106473
21 117 27 27	0.1826274615592123 0.35490605427974947
21 117 27 83	0.036140911511831394 0.49164926931106473
21 117 28	0.6 0.007306889352818371
21 117 30	0.6684931506849315 0.4363256784968685
21 117 30 83	0.0071933352484918126 0.17849686847599164
21 117 30 95	5.6567194112897836e-05 0.005219206680584551
21 117 30 117	0.0008208832703989492 0.0041753653444676405
21 117 33	0.25 0.35177453027139877
21 117 33 83	0.00822531105211099 0.1649269311064718
21 117 45	0.02556818181818182 0.007306889352818371
21 117 52	0.8221768012263669 0.48434237995824636
21 117 52 18	0.008192328305642753 0.20668058455114824
21 117 77 20	0.4761037778789258 0.44467640918580376
21 117 92 27	0.1261127596439169 0.35490605427974947
21 117 92 92	0.1261127596439169 0.35490605427974947
21 117 93 30	0.5851926977687627 0.05741127348643006
21 117 99	0.2175 0.09081419624217119
21 117 99 95	0.001271051795360661 0.0041753653444676405
21 117 99 117	0.006430868167202572 0.0041753653444676405
21 117 104 12	0.038461538461538464 0.013569937369519834
21 117 104 20	0.47221240724849833 0.44676409185803756
21 117 104 39	0.0005753565696635678 0.011482254697286013
21 117 104 40	0.0012612328551158758 0.014613778705636743
21 117 104 57	0.0016220600162206002 0.012526096033402923
21 117 105 12	0.018292682926829267 0.012526096033402923
21 117 105 20	0.5339859216893973 0.4488517745302714
21 117 105 40	0.0011477001853977223 0.0010438413361169101
21 117 118 21	0.546875 0.05219206680584551
21 117 122 20	0.46 0.04279749478079332
21 117 126 21	0.3446327683615819 0.07411273486430063
21 117 126 61	0.06650485436893204 0.009394572025052192
21 118 10 30	1.0 0.027139874739039668
21 118 21	1.0 0.2588726513569937
21 118 30	0.5476190476190477 0.024008350730688934
21 118 53	1.0 0.29436325678496866
21 118 110 20	1.0 0.027139874739039668
21 121 30	1.0 0.03966597077244259
21 121 56	1.0 0.03966597077244259
21 121 99	1.0 0.008350730688935281
21 122 20	0.3244635193133047 0.3893528183716075
21 122 20 83	0.008818595734483585 0.17849686847599164
21 122 20 92	0.034352177441168516 0.1325678496868476
21 122 20 95	0.0001628863460520422 0.0041753653444676405
21 122 39	0.01020408163265306 0.005219206680584551
21 122 39 52	0.017569546120058566 0.012526096033402923
21 122 39 99	0.15012562814070352 0.24947807933194155
21 122 40 30	0.3313343328335832 0.23068893528183715
21 122 57	0.9912568306010929 0.6607515657620042
21 122 67 21	0.7036880033912675 0.4603340292275574
21 123 58	1.0 0.008350730688935281
21 126 2 12	0.00566873339238264 0.029227557411273485
21 126 2 20	0.4645855407938707 0.7766179540709812
21 126 2 40	0.0011339621668986135 0.022964509394572025
21 126 4 20	0.5973920130399348 0.7077244258872651
21 126 21	0.6896227978130005 0.8622129436325678
21 126 21 18	0.05289526785497621 0.7755741127348643
21 126 21 27	0.18677100163932492 0.6471816283924844
21 126 21 83	0.05261284598604479 0.7755741127348643
21 126 21 92	0.1609081533639167 0.6471816283924844
21 126 55 20	1.0 0.05219206680584551
21 126 61	0.7029129793510325 0.9164926931106472
21 126 61 18	0.047769256939105026 0.7296450939457203
21 126 61 27	0.15401105561978404 0.6430062630480167
21 126 61 30	0.07054370268410186 0.31315240083507306
21 126 61 52	0.02146662488248198 0.010438413361169102
21 126 61 83	0.04678878602774865 0.7296450939457203
21 126 61 92	0.13098882550348928 0.6430062630480167
21 126 61 99	0.05738132498695879 0.13674321503131523
22 87 61 18	0.058823529411764705 0.0010438413361169101
28 15 100 1	0.009174311926605505 0.0010438413361169101
28 30	0.3103448275862069 0.009394572025052192
28 30 18 27	0.02580999450851181 0.008350730688935281
28 30 18 83	0.03650541419906253 0.008350730688935281
28 30 27 27	0.16825396825396827 0.008350730688935281
28 30 27 92	0.18181818181818182 0.008350730688935281
28 30 45 110	0.01959271829682197 0.008350730688935281
28 30 83 18	0.04516865737492871 0.008350730688935281
28 30 83 83	0.04457512973421898 0.008350730688935281
28 30 83 92	0.0272 0.008350730688935281
28 30 85 20	0.7085151074486993 0.009394572025052192
28 30 85 40	0.00983284169124877 0.008350730688935281
28 30 92 27	0.14163090128755365 0.008350730688935281
28 30 95 30	0.34623082054703136 0.009394572025052192
28 30 105 40	0.72 0.009394572025052192
28 52	0.15384615384615385 0.0020876826722338203
28 52 83 18	0.045774703276744245 0.0020876826722338203
28 52 83 27	0.014336917562724014 0.0020876826722338203
28 52 83 83	0.04493368846325084 0.0020876826722338203
28 52 85 20	0.7317939609236235 0.0020876826722338203
28 52 86 21	0.43209876543209874 0.0020876826722338203
28 52 95 30	0.35962145110410093 0.005219206680584551
28 52 95 52	0.14754098360655737 0.0020876826722338203
28 52 95 99	0.16326530612244897 0.005219206680584551
28 52 105 40	0.3 0.0020876826722338203
28 52 117 99	0.17567567567567569 0.005219206680584551
28 52 126 61	0.36363636363636365 0.0010438413361169101
28 77 12 30	0.2757201646090535 0.009394572025052192
28 77 20	0.5428571428571428 0.008350730688935281
28 77 39 99	0.18840579710144928 0.007306889352818371
28 93 14 20	0.8571428571428571 0.006263048016701462
28 93 21	1.0 0.010438413361169102
28 93 28 99	0.22077922077922077 0.007306889352818371
28 93 30	0.8421052631578947 0.009394572025052192
28 93 108 20	0.8529411764705882 0.005219206680584551
28 93 110 20	0.43478260869565216 0.003131524008350731
28 99	0.20588235294117646 0.007306889352818371
28 99 18 83	0.029443405222967158 0.007306889352818371
28 99 27 92	0.16037735849056603 0.007306889352818371
28 99 30	0.2222222222222222 0.0020876826722338203
28 99 34 30	0.25170068027210885 0.007306889352818371
28 99 45 110	0.018934081346423562 0.007306889352818371
28 99 83 27	0.03314917127071823 0.007306889352818371
28 99 83 83	0.044482576246578545 0.007306889352818371
28 99 85 20	0.6650782845473111 0.007306889352818371
28 99 86 21	0.6116504854368932 0.007306889352818371
28 99 92 18	0.027699265121537593 0.007306889352818371
28 99 95 30	0.38279192273924495 0.007306889352818371
28 99 105 40	0.8529411764705882 0.007306889352818371
28 104 1 66	0.009083402146985962 0.0041753653444676405
28 104 20	0.6259398496240601 0.009394572025052192
28 104 35 80	0.007957016355213816 0.0041753653444676405
28 104 39 30	0.28007889546351084 0.009394572025052192
28 104 39 52	0.17608921161825727 0.0020876826722338203
28 104 39 99	0.20524790727623954 0.007306889352818371
28 104 40 30	0.2649164677804296 0.008350730688935281
28 104 40 52	0.15209988649262202 0.0020876826722338203
28 104 40 99	0.18270571827057183 0.007306889352818371
28 104 45 30	0.7542372881355932 0.006263048016701462
28 104 67 21	0.6056338028169014 0.005219206680584551
28 105 16 30	0.9411764705882353 0.0041753653444676405
28 105 20	0.6911281489594743 0.009394572025052192
28 105 35 80	0.006740491092922484 0.006263048016701462
28 105 39 30	0.2700871248789932 0.009394572025052192
28 105 39 52	0.1550925925925926 0.0020876826722338203
28 105 39 99	0.18781006378454995 0.009394572025052192
28 105 40 30	0.2670928293496387 0.009394572025052192
28 105 40 52	0.17505720823798626 0.0020876826722338203
28 105 40 99	0.20131244707874682 0.007306889352818371
28 117 30	0.8518518518518519 0.007306889352818371
28 117 81 20	0.8073394495412844 0.006263048016701462
28 118 28 30	0.38461538461538464 0.005219206680584551
28 126 61 30	0.2848101265822785 0.006263048016701462
29 94 30	1.0 0.0010438413361169101
30	0.8780487804878049 0.037578288100208766
30 1 66 20	0.28717201166180756 0.014613778705636743
30 14 79	1.0 0.0010438413361169101
30 15 100 20	0.48439659562086274 0.024008350730688934
30 18	0.0042941492216854536 0.0041753653444676405
30 18 18	0.049129086984862375 0.037578288100208766
30 18 18 18	0.0653208778541056 0.037578288100208766
30 18 18 27	0.02633085495529219 0.03549060542797495
30 18 18 83	0.06371310888494651 0.037578288100208766
30 18 18 92	0.02687085986798028 0.03549060542797495
30 18 19 84	0.010417412472256032 0.018789144050104383
30 18 27	0.021699636657246668 0.03549060542797495
30 18 27 18	0.033859161112073585 0.03653444676409186
30 18 27 27	0.01582476856913769 0.03444676409185804
30 18 27 83	0.035244061961841176 0.03653444676409186
30 18 27 92	0.014186535714029306 0.03549060542797495
30 18 34 99	0.008807045636509208 0.014613778705636743
30 18 45 110	0.01312118169051839 0.037578288100208766
30 18 83	0.049974129417912634 0.037578288100208766
30 18 83 18	0.0633034341397225 0.037578288100208766
30 18 83 27	0.034240304470319845 0.03549060542797495
30 18 83 83	0.06248761275409103 0.037578288100208766
30 18 83 92	0.03452336824983071 0.03549060542797495
30 18 85 20	0.017322417283461802 0.038622129436325675
30 18 86 21	0.06687219010918433 0.03549060542797495
30 18 86 30	0.02800294767870302 0.007306889352818371
30 18 86 61	0.0228003507746273 0.020876826722338204
30 18 92	0.020696958028494417 0.03549060542797495
30 18 92 18	0.037442024193166515 0.03653444676409186
30 18 92 83	0.037522664942709394 0.03653444676409186
30 18 92 92	0.020215970616787263 0.03444676409185804
30 18 95 30	0.009553253980522492 0.033402922755741124
30 18 105 20	0.03646031143182681 0.015657620041753653
30 18 126 21	0.09256594724220624 0.020876826722338204
30 19 84	0.04052863436123348 0.017745302713987474
30 19 84 18	0.0410157589389804 0.017745302713987474
30 19 84 83	0.04032434887472397 0.017745302713987474
30 27	0.012244897959183673 0.003131524008350731
30 27 18	0.040827054494480465 0.03549060542797495
30 27 18 18	0.026974962077860744 0.03444676409185804
30 27 18 27	0.035565810471534134 0.03549060542797495
30 27 18 83	0.026897866997134992 0.03444676409185804
30 27 18 92	0.03645764419700563 0.03549060542797495
30 27 27	0.24870466321243523 0.03653444676409186
30 27 27 92	0.12129593046226787 0.03549060542797495
30 27 34 30	0.011527377521613832 0.003131524008350731
30 27 45 110	0.015532346302459926 0.03549060542797495
30 27 77 12	0.047987616099071206 0.013569937369519834
30 27 83	0.040784176439698935 0.03549060542797495
30 27 83 18	0.026733160346020784 0.03444676409185804
30 27 83 27	0.03274621681964773 0.03549060542797495
30 27 83 83	0.027739082883034578 0.03444676409185804
30 27 85 20	0.05414508187519045 0.03444676409185804
30 27 86 21	0.22239520958083833 0.020876826722338204
30 27 86 61	0.07632474477394263 0.017745302713987474
30 27 92	0.2475442043222004 0.03653444676409186
30 27 92 27	0.11252259735183466 0.03549060542797495
30 27 92 83	0.06427823785762247 0.03549060542797495
30 27 92 92	0.10675115768949549 0.03549060542797495
30 27 95 30	0.022713157661254545 0.03549060542797495
30 27 126 21	0.2932330827067669 0.016701461377870562
30 30 95 83	0.033950617283950615 0.0041753653444676405
30 33 98	0.08333333333333333 0.008350730688935281
30 34 93 30	0.8402061855670103 0.020876826722338204
30 34 99	0.32 0.03549060542797495
30 34 104 20	0.4634911154248171 0.03549060542797495
30 34 105 20	0.5855263157894737 0.03653444676409186
30 34 126 21	0.5022935779816514 0.029227557411273485
30 45 110	0.024222753672702425 0.037578288100208766
30 45 110 18	0.023531949775830514 0.037578288100208766
30 45 110 27	0.027032562823505316 0.03549060542797495
30 45 110 83	0.02195990005117283 0.037578288100208766
30 45 110 92	0.027835890792272475 0.03549060542797495
30 56 66 20	0.6129032258064516 0.0020876826722338203
30 77 12	0.6190476190476191 0.031315240083507306
30 77 20	0.5443548387096774 0.027139874739039668
30 83	0.004219409282700422 0.0041753653444676405
30 83 1 66	0.0019668320593625678 0.012526096033402923
30 83 18	0.03829425846578748 0.037578288100208766
30 83 18 18	0.04043151216518267 0.037578288100208766
30 83 18 27	0.03185978265628246 0.03549060542797495
30 83 18 83	0.03805861210371579 0.037578288100208766
30 83 18 92	0.033964977565378064 0.03549060542797495
30 83 18 110	4.139226428842484e-09 0.0020876826722338203
30 83 19 84	0.010414511345610042 0.018789144050104383
30 83 27	0.02293706293706294 0.03549060542797495
30 83 27 18	0.04027250770301082 0.03653444676409186
30 83 27 27	0.026298568507157463 0.03444676409185804
30 83 27 83	0.0408712900530516 0.03653444676409186
30 83 33 98	0.005662617590647547 0.007306889352818371
30 83 45 110	0.013086960378776043 0.037578288100208766
30 83 77 12	0.016188373804267846 0.017745302713987474
30 83 83	0.039032314438137226 0.037578288100208766
30 83 83 18	0.045980508443472116 0.037578288100208766
30 83 83 27	0.04099272788549229 0.03549060542797495
30 83 83 83	0.044300824486075537 0.037578288100208766
30 83 83 92	0.04407364851616789 0.03549060542797495
30 83 85 12	0.0074040219378427785 0.031315240083507306
30 83 85 20	0.017261902872433968 0.038622129436325675
30 83 86 21	0.06677440870145195 0.03549060542797495
30 83 92	0.02361524431218201 0.03549060542797495
30 83 92 18	0.03865014140661221 0.03653444676409186
30 83 92 27	0.01968573077212554 0.03444676409185804
30 83 92 83	0.039087572675093205 0.03653444676409186
30 83 95 30	0.009647095083988288 0.033402922755741124
30 83 95 95	0.0052173913043478265 0.003131524008350731
30 83 104 20	0.04068932503590235 0.025052192066805846
30 83 126 21	0.09256594724220624 0.020876826722338204
30 85 1 66	0.0025484199796126403 0.013569937369519834
30 85 8 20	0.8701472556894244 0.030271398747390398
30 85 12	0.1328740157480315 0.027139874739039668
30 85 12 18	0.0363282742333206 0.018789144050104383
30 85 12 30	0.20632411067193676 0.033402922755741124
30 85 12 52	0.13498098859315588 0.019832985386221295
30 85 16 30	0.9357351509250244 0.025052192066805846
30 85 20	0.8857700200136802 0.0407098121085595
30 85 20 18	0.03332458455941949 0.038622129436325675
30 85 20 27	0.14412568536009113 0.032359081419624215
30 85 20 83	0.029821929644814442 0.038622129436325675
30 85 20 92	0.1303710394840006 0.032359081419624215
30 85 23 20	0.7757774140752864 0.030271398747390398
30 85 35 80	0.007503633452115255 0.021920668058455117
30 85 39	0.007732302359685375 0.026096033402922755
30 85 39 30	0.3219797278787325 0.03549060542797495
30 85 39 52	0.19625818521983163 0.019832985386221295
30 85 39 56	0.041379310344827586 0.0020876826722338203
30 85 39 99	0.21612509862994048 0.03549060542797495
30 85 40	0.012262122780476153 0.021920668058455117
30 85 40 30	0.27343906846014854 0.03653444676409186
30 85 40 52	0.17602441150828246 0.019832985386221295
30 85 40 99	0.19370594781748485 0.03549060542797495
30 85 43 21	0.984822934232715 0.014613778705636743
30 85 43 30	0.9599056603773585 0.027139874739039668
30 85 45 30	0.6026962727993656 0.028183716075156576
30 85 50 20	0.5723830734966593 0.013569937369519834
30 85 57 30	0.28160919540229884 0.028183716075156576
30 85 58 20	0.9192307692307692 0.033402922755741124
30 85 67 21	0.6001402196774948 0.03444676409185804
30 85 69 21	0.6893939393939394 0.028183716075156576
30 85 73 20	0.8701472556894244 0.030271398747390398
30 85 88 20	0.7770491803278688 0.030271398747390398
30 85 115 20	0.5723830734966593 0.013569937369519834
30 86 2 20	0.4965116279069767 0.031315240083507306
30 86 2 40	0.003861003861003861 0.011482254697286013
30 86 21	0.6663461538461538 0.0407098121085595
30 86 21 18	0.02866505417925295 0.03444676409185804
30 86 21 27	0.17867321652270476 0.020876826722338204
30 86 21 83	0.029110007500761564 0.03444676409185804
30 86 21 92	0.1560684250764526 0.020876826722338204
30 86 28 52	0.18604651162790697 0.008350730688935281
30 86 28 99	0.21333333333333335 0.015657620041753653
30 86 30	0.8625592417061612 0.037578288100208766
30 86 53 99	0.26285714285714284 0.015657620041753653
30 86 61	0.15404040404040403 0.028183716075156576
30 86 61 83	0.0388475290622355 0.021920668058455117
30 86 61 92	0.07450254511800093 0.016701461377870562
30 86 61 99	0.09595070422535211 0.028183716075156576
30 86 108 20	0.9684908789386402 0.014613778705636743
30 92	0.012096774193548387 0.003131524008350731
30 92 18	0.04380664652567976 0.03549060542797495
30 92 18 18	0.034363151748319436 0.03444676409185804
30 92 18 83	0.033458749782286176 0.03444676409185804
30 92 27	0.24954296160877515 0.03653444676409186
30 92 27 18	0.062133946891714385 0.03444676409185804
30 92 27 83	0.06126567601250061 0.03444676409185804
30 92 45 110	0.015575760317244915 0.03549060542797495
30 92 83	0.04349456317960255 0.03549060542797495
30 92 83 18	0.030205156389274318 0.03444676409185804
30 92 83 27	0.04151761759971383 0.03444676409185804
30 92 83 83	0.029365962825282078 0.03444676409185804
30 92 83 92	0.041580413790016674 0.03549060542797495
30 92 85 20	0.05672448825376568 0.032359081419624215
30 92 86 21	0.2257201896195454 0.020876826722338204
30 92 86 61	0.07707412862052038 0.017745302713987474
30 92 92	0.23097826086956522 0.03653444676409186
30 92 92 83	0.06556655299564723 0.03444676409185804
30 92 92 92	0.13085764809902742 0.03444676409185804
30 92 95 30	0.02363584691170898 0.032359081419624215
30 95 3 68	0.25 0.009394572025052192
30 95 21	0.9644670050761421 0.04279749478079332
30 95 27 30	0.8323651452282158 0.021920668058455117
30 95 28 99	0.23512747875354106 0.021920668058455117
30 95 30	0.6701754385964912 0.04175365344467641
30 95 30 18	0.027785217683251158 0.03653444676409186
30 95 30 92	0.14003854492893278 0.03653444676409186
30 95 52	0.07290729072907291 0.022964509394572025
30 95 56	0.06711409395973154 0.010438413361169102
30 95 59 99	0.2 0.008350730688935281
30 95 75 20	0.7569060773480663 0.024008350730688934
30 95 81 20	0.730098559514784 0.026096033402922755
30 95 92 30	0.8323651452282158 0.021920668058455117
30 95 93 30	0.8408163265306122 0.020876826722338204
30 95 99	0.13186813186813187 0.022964509394572025
30 95 104 20	0.5872347318969707 0.03549060542797495
30 95 105 20	0.634444276881315 0.038622129436325675
30 95 108 20	0.9066666666666666 0.028183716075156576
30 95 110 20	0.46824907521578296 0.027139874739039668
30 95 122 20	0.3787878787878788 0.029227557411273485
30 104 20	0.5315315315315315 0.027139874739039668
30 104 39	0.934010152284264 0.030271398747390398
30 105 20	0.85 0.020876826722338204
30 105 40	0.9307359307359307 0.032359081419624215
30 108 35 80	0.029411764705882353 0.008350730688935281
30 117 27 18	0.025 0.009394572025052192
30 117 30	0.5428571428571428 0.022964509394572025
30 117 52	0.5089285714285714 0.022964509394572025
30 117 99	0.1836734693877551 0.009394572025052192
30 117 104 20	0.714694315337862 0.019832985386221295
30 117 105 20	0.7669082125603864 0.020876826722338204
30 121 56	0.9090909090909091 0.010438413361169102
30 122 57	0.92 0.017745302713987474
30 126 2 20	0.43700787401574803 0.021920668058455117
30 126 21	0.5913461538461539 0.029227557411273485
30 126 21 18	0.03314496990992644 0.021920668058455117
30 126 61	0.7207357859531772 0.032359081419624215
31 20	1.0 0.0020876826722338203
31 20 18 18	0.02915452238788817 0.0020876826722338203
31 20 18 83	0.02913652177086022 0.0020876826722338203
31 20 45 110	0.01905972045743329 0.0020876826722338203
31 20 83 83	0.020222291628873457 0.0020876826722338203
31 20 85 20	0.9443037974683545 0.0020876826722338203
31 20 86 21	0.6527777777777778 0.0020876826722338203
31 20 104 20	1.0 0.0020876826722338203
31 35 80	0.03225806451612903 0.0010438413361169101
31 35 80 30	0.9655172413793104 0.0010438413361169101
31 39 30	1.0 0.0010438413361169101
31 39 99	1.0 0.0010438413361169101
31 39 104 20	0.9333333333333333 0.0010438413361169101
31 39 105 20	0.9591836734693877 0.0010438413361169101
31 40 30 117	0.3333333333333333 0.0010438413361169101
31 40 99	0.42857142857142855 0.003131524008350731
31 40 104 20	0.569672131147541 0.003131524008350731
31 40 105 20	0.7634408602150538 0.003131524008350731
31 46 111 20	0.01162982514021775 0.005219206680584551
31 51 116 30	0.5 0.0010438413361169101
31 57 122 20	0.9 0.0010438413361169101
31 96 21	1.0 0.006263048016701462
35 80	0.01764705882352941 0.003131524008350731
35 80 18	0.01647058823529412 0.0041753653444676405
35 80 18 18	0.008928235612927545 0.005219206680584551
35 80 18 83	0.008892531002581727 0.005219206680584551
35 80 52 83	0.002380952380952381 0.0010438413361169101
35 80 83	0.009302325581395349 0.0041753653444676405
35 80 83 18	0.008474231207671256 0.005219206680584551
35 80 83 83	0.008282048574217018 0.005219206680584551
35 80 85 20	0.5201252936570087 0.005219206680584551
35 80 92	0.10666666666666667 0.005219206680584551
35 80 95 30	0.376 0.0041753653444676405
35 80 104 20	0.45288753799392095 0.005219206680584551
35 80 105 20	0.4922033898305085 0.0041753653444676405
35 100 16 30	0.5907692307692308 0.003131524008350731
35 100 20	0.4386333771353482 0.005219206680584551
35 100 20 18	0.01816347944131453 0.005219206680584551
35 100 20 27	0.11236215902495647 0.005219206680584551
35 100 20 83	0.018147564125096164 0.005219206680584551
35 100 20 92	0.09639544294341032 0.005219206680584551
35 100 35 80	0.009056573232255106 0.0041753653444676405
35 100 39 30	0.1746987951807229 0.003131524008350731
35 100 39 99	0.1354200988467875 0.003131524008350731
35 100 40 18	0.02318840579710145 0.005219206680584551
35 100 40 30	0.1506527415143603 0.0041753653444676405
35 100 40 52	0.1271781534460338 0.003131524008350731
35 100 40 99	0.11712574850299401 0.003131524008350731
35 103 21	0.3 0.003131524008350731
35 103 30	0.48 0.003131524008350731
38 80	0.007322175732217573 0.014613778705636743
38 80 15 80	0.003260463314691112 0.014613778705636743
38 80 18 18	0.010601855581248295 0.011482254697286013
38 80 18 83	0.01079742419721151 0.011482254697286013
38 80 27	0.0018098058571898651 0.009394572025052192
38 80 27 18	0.009872531867033242 0.009394572025052192
38 80 27 27	0.006427520457068121 0.014613778705636743
38 80 27 30	0.0037335596096733136 0.0041753653444676405
38 80 27 83	0.009843010216795414 0.009394572025052192
38 80 27 92	0.008589405154218212 0.013569937369519834
38 80 30	0.035633484162895926 0.011482254697286013
38 80 30 18	0.019652531777453637 0.007306889352818371
38 80 30 27	0.03332391092685072 0.005219206680584551
38 80 30 30	0.14285714285714285 0.003131524008350731
38 80 30 83	0.01937058445728966 0.006263048016701462
38 80 30 92	0.044743551461974874 0.006263048016701462
38 80 45 110	0.012865747175594284 0.011482254697286013
38 80 52	0.006544502617801047 0.006263048016701462
38 80 77 12	0.05938242280285035 0.007306889352818371
38 80 77 20	0.29411764705882354 0.009394572025052192
38 80 83	0.022781774580335732 0.007306889352818371
38 80 83 18	0.011408405431773783 0.011482254697286013
38 80 83 83	0.011450449131133357 0.011482254697286013
38 80 85 20	0.30641850918929003 0.016701461377870562
38 80 85 39	0.005061460592913955 0.007306889352818371
38 80 85 40	0.0013354700854700855 0.005219206680584551
38 80 86 21	0.4784110535405872 0.015657620041753653
38 80 92	0.0023250020758947107 0.008350730688935281
38 80 92 30	0.0034822490232716153 0.0041753653444676405
38 80 92 83	0.02066363714310212 0.009394572025052192
38 80 95 30	0.10450281425891182 0.014613778705636743
38 80 99	0.11538461538461539 0.006263048016701462
38 80 104 20	0.29113018597997137 0.013569937369519834
38 80 105 20	0.30447330447330445 0.010438413361169102
38 80 118 21	0.6097560975609756 0.005219206680584551
38 80 126 21	0.5504885993485342 0.008350730688935281
38 100 12 30	0.195578231292517 0.011482254697286013
38 100 12 52	0.05271317829457364 0.0020876826722338203
38 100 16 30	0.4553191489361702 0.005219206680584551
38 100 20	0.2788330359953825 0.016701461377870562
38 100 20 18	0.01283709840961517 0.013569937369519834
38 100 20 27	0.05185653548457429 0.010438413361169102
38 100 20 83	0.012666255002321452 0.013569937369519834
38 100 20 92	0.06464812974230928 0.009394572025052192
38 100 30	0.4 0.0010438413361169101
38 100 35 80	0.0030896844881111107 0.015657620041753653
38 100 39	0.001857502985272655 0.005219206680584551
38 100 39 18	0.01072465926863782 0.003131524008350731
38 100 39 30	0.2328159645232816 0.013569937369519834
38 100 39 52	0.06697628941579076 0.0020876826722338203
38 100 39 99	0.12171428571428572 0.011482254697286013
38 100 40 18	0.008952187182095625 0.0041753653444676405
38 100 40 30	0.23079674962947822 0.013569937369519834
38 100 40 52	0.03712453594330071 0.0020876826722338203
38 100 40 99	0.095785991658277 0.010438413361169102
38 100 46 30	0.6666666666666666 0.0020876826722338203
38 100 51 30	0.18787878787878787 0.003131524008350731
38 100 57 30	0.25245098039215685 0.006263048016701462
38 100 58 83	0.038461538461538464 0.0010438413361169101
38 100 67 21	0.31236749116607776 0.012526096033402923
38 100 69 21	0.41517857142857145 0.010438413361169102
38 100 88 20	0.24081632653061225 0.011482254697286013
38 100 123 20	0.2956989247311828 0.010438413361169102
38 103 21	0.7368421052631579 0.018789144050104383
44 109 21	1.0 0.0020876826722338203
49 114 20 18	0.0017238802962107815 0.003131524008350731
49 114 20 83	0.0017242449564283157 0.003131524008350731
49 114 20 92	0.0005837711617046118 0.0010438413361169101
49 114 21	1.0 0.003131524008350731
53	0.09433962264150944 0.005219206680584551
53 15 80	0.036065573770491806 0.021920668058455117
53 15 80 30	0.6624525916561315 0.021920668058455117
53 15 80 99	0.4177215189873418 0.021920668058455117
53 15 100 20	0.685981308411215 0.021920668058455117
53 15 103 21	0.6097560975609756 0.021920668058455117
53 18 18	0.027241910489820952 0.0041753653444676405
53 18 18 18	0.03568581702625583 0.0041753653444676405
53 18 18 27	0.0037942940505465276 0.0041753653444676405
53 18 18 83	0.03532786964145311 0.0041753653444676405
53 18 45 110	0.013682109290526491 0.0041753653444676405
53 18 83	0.027152587905394054 0.0041753653444676405
53 18 83 18	0.0343119533631485 0.0041753653444676405
53 18 83 27	0.022567057243783828 0.0041753653444676405
53 18 83 83	0.03369349049559966 0.0041753653444676405
53 18 86 21	0.06640432857845549 0.0041753653444676405
53 18 92 27	0.026070107451118547 0.0041753653444676405
53 27 15 80	0.017366136034732273 0.012526096033402923
53 27 18	0.022988505747126436 0.0020876826722338203
53 27 27 30	0.9090909090909091 0.010438413361169102
53 27 27 99	1.0 0.010438413361169102
53 27 30	1.0 0.010438413361169102
53 27 77 20	0.21739130434782608 0.010438413361169102
53 27 86 21	0.18706293706293706 0.0020876826722338203
53 27 92 30	0.7931034482758621 0.014613778705636743
53 27 99	1.0 0.0010438413361169101
53 27 105 20	0.72 0.014613778705636743
53 27 117 30	0.2222222222222222 0.0041753653444676405
53 27 118 21	1.0 0.010438413361169102
53 30	0.5373134328358209 0.037578288100208766
53 30 1 66	0.021350931677018632 0.016701461377870562
53 30 15 80	0.013094417643004824 0.024008350730688934
